,Reviews
4306,"Очень хороший курс, все понятно"
4307,Отличный курс! Спасибо!
4308,"однозначно лучший курс по экономическим задачам. Последовательный разбор каждого платежа, а также задач на оптимизацию. Можно полностью подготовиться по 17 номеру ЕГЭ благодаря данному курсу!"
4309,"Огромное спасибо за проделанную работу, курс мне показался сложным, не хватало более гибкого перехода примеров от простых до созданных задач, после курса остаются вопросы о некоторых темах."
4310,"Великолепный курс! Это был мой первый курс по программированию, и я рада, что не ошиблась с выбором. Мотивирует на продолжение. Очень понравилось изложение информации. Огромное спасибо авторам и создателям курса!"
4311,"Отличный курс, все подано грамотно, последовательно и логично. Рекомендую вообще всем чья работа как либо связана с анализом данных."
4312,"Курс изобилует практикой. Теории здесь почти нет, а если и есть, то очень сухая, т. е. либо уже нужно знать первую часть на уровне ""решаю за час"", либо самостоятельно изучать все нюансы и вопросы. Тимур помогает набить руку на конкретных примерах, грубо говоря, предлагает заучить алгоритмы решений без особого понимания. Подойдёт ещё тем, кто катастрофически не успевает готовиться или подзабыл 1-ую ч., пока решал 2-ую. За теорией обратитесь к другим курсам школы BEEGEEK, например, геометрией 10-ого класса или уравнениями школьной программы, однако ожидайте, что курса по сложному теорверу на 2022 год не найдёте у BEEGEEK. Здесь задания открываются 1-ого сентября -- и это большой минус для тех, кто уже в 2022 году сдаёт и кто привык к системе BEEGEEK. Вежливость ответов на вопросы по заданиям оставляет желать лучшего. Рекомендую нанять командного психолога, который будет налаживать в школе атмосферу между участниками и успокаивать всем нервишки. Порой очередная ошибка всех доводит до белого каления... Судя по постепенно иссякающему энтузиазму преподавателя, он явно устал за свои 4 года одновременно учиться в Бауманке и отвечать на тупые вопросы учеников. В целом же, я вижу у BEGEEK большое светлое будущее и чистое, искреннее стремление помочь сдающим (дело даже не в доступности большинства курсов, а в умении преподавателей чётко, лаконично, красиво излагать материал). Сдающие буквально с нуля учатся решать каждое задание. После курса с уверенностью пишу: знаю 10/11 заданий первой части на 4 или 5 из 5. Правда, одним курсом наверстать весь объём без конспектов с учебника, если знаний по матеше -- ноль, не получится. Это будут просто выученные алгоритмы. Постепенно они забудутся (столкнулась с этим, когда решала задания по стереометрии и производной на РешуЕГЭ после долгого простоя). Курс заслуженно занимает первые позиции на Stepik. Это лучшее, что можно найти здесь за бесплатно и с подробной выкладкой алгоритмов решения с логическими обоснованиями. Наверное, лучше только платный курс BEEGEEK с подготовкой на сотку... Ну и конечно же теоретические с уравнениями и темами из старших классов. ;) Желаю преподавателям успехов в развитии школы. Пусть ученики зарабатывают знания с пользой и позитивом! Ну и налаживайте атмосферу, жду теорвера в десятом) *Чмафф*"
4313,отлично
4314,"Хороший курс. Раскрыты не только базовые вещи, но и некоторые нюансы, что может помочь пройти собеседование."
4315,Отличный курс для подготовки к огэ)
4316,Рекомендую для тренировки в решении уравнений. Превосходный курс!
4317,"Отличный курс, чтобы вспомнить школьную программу."
4318,"Очень полезный курс, всё последовательно и понятно. Спасибо. Жаль только что сейчас не доступны лабораторные работы предыдущие, очень хотелось бы ещё раз для себя повторить материал. Спасибо за курс."
4319,Думаю этот курс превзойдет и мои ожидания
4320,"Изучал курс для тренировки мозгов В тестах хорошие задания - заставляют думать, а не отвечат методом копи-пасте"
4321,Как же он чувствует Прекрасный курс
4322,Очень полезный и информативный курс.
4323,Отличный курс и очень подробный!
4324,полезный курс
4325,"По одной звездочке - за искреннее желание создать хороший курс (чувствуется, что оно изначально у Анатолия было) и, собственно, за усилия по созданию курса. В остальном, лично на мой взгляд, курс не достоен того, чтобы тратить на него время. Не потому, что он ""плохой"" (что такое хорошо, а что такое плохо, в конце концов?). А потому что: - в рамках курса многие, на мой взгляд, важные для понимания моменты осознанно пропускаются (""тут есть формула, вот она, пользуйтесь, но выводить мы ее не будем"" или еще хуже ""тут есть формула, но мы ее не скажем""). В результате слушатель курса научается немного ""обезьянничать"", а именно подставлять цифры в формулы и получать какие-то результаты, без глубокого понимания сути. А это, увы, очень вредно для интеллекта. - в мире существуют курсы по статистике, которые лучше справляются с задачей не заучивания, а обеспечения именно понимания у их слушателей. Тоже, кстати, бесплатные. Например https://www.khanacademy.org/math/statistics-probability А раз они есть, почему бы не пользоваться лучшим? PS: Я прошел все задания курса, получил 100% результат и ""диплом с отличием"". И на большинство заданий ответил правильно с первого раза. Но скзать, что я ""разобрался в вопросе"", увы, не могу. Высокая оценка курса со стороны других слушателей, на мой взгляд, обусловлена следующими причинами (по крайней мере, частично): - имеет место классическая логическая ошибка, которая называется ""ошибка выжившего"": когда хорошие оценки ставят те, кто получил такое право, пройдя минимум 80% заданий (тем, кто разочаровался в курсе и бросил его раньше, просто не дали слова); - не помню, как называется этот эффект в психологии, но человек склонен более позитивно оценивать то, на что он сам потратил время и ресурсы (поскольку человеку часто сложно признавать свои собственные ошибки). А те, кто прошли курс до конца, время точно потратили; - в современном мире проблема ограниченности доступа к знанию проявляется не так, как раньше. Раньше просто было мало книг. Вообще и любых. А сейчас информации завались, но мы столкнулись с другой проблемой: как среди всего обилия информации найти адекватную. И по каким критериям отличить адекватную информацию от неадекватной, если ты неспециалист? Так и здесь: большое количество позитивных оценок видим потому, что люди ""небалованные"" и могли не видеть реально хорошего."
4326,Курс хороший. Приятно слушать преподавателя.
4327,"Курс просто супер, на пять с плюсом. Лучший преподаватель на Степике, которого я встречал. Все изложено интересно, предельно доходчиво, логично и последовательно, хотя до этого курса я был полный ноль в этом деле.
Для тех кто собирается пройти курс, советую поставить скорость видео на 0,75, т.к. на обычной скорости у меня не получается усвоить информацию, а она тут без воды и слушать надо внимательно. Еще в начале каждой лекции скачивать памятку, чтобы закрепить информацию и решать по ней задачки. Автору большое спасибо! Хочу продолжения курса и готов платить если он будет платный."
4328,"Присоединяюсь к многочисленным положительным отзывам! Курс затягивает ничуть не хуже сериала, пролетает на одном дыхании. Хочу сказать спасибо Анатолию за очень бодрую и легкую подачу материала, наш мир держится именно на таких энтузиастах. Иногда, конечно, приходилось пересматривать ролики несколько раз, чтобы понять суть происходящего, но этим и удобен курс в записи. Очень структурированная теория и интересные задания, которые иногда заставляли ухмыльнуться из-за собственной невнимательности :) Летим на вторую часть курса!"
4329,"Я выпускница прошлых лет, собираюсь сдавать в этом году математику. Очень полезный курс, для полного повторения ! Благодаря вашим двум курсам решаю первую часть безошибочно :)"
4330,Самый лучший курс по подготовке к ЕГЭ по математике! Вся информация исключительно по делу. Видео уроки легки для понимания. Данный курс мне очень помог научиться решать первую часть профиля на 12/12 !!! Огромное спасибо вам за такой прекрасный курс!
4331,Отлично!
4332,"Спасибо за курс,помог хорошо понять задачи с вкладами и кредитами!"
4333,Крутизна! Ещё бы подтянуть знания по алгоритмам (в частности по стеку).
4334,Отличный понятный курс. Спасибо авторам!
4335,"Спасибо за хороший курс, с ним можно неплохо подготовится к первой части, главное правильно распределить время."
4336,Нормально
4337,"Этот курс является чрезвычайно полезным для тех, кто заинтересован или принимая их карьеры в области биотехнологии. Курс сам очень освежает, хорошо структурирован, авторы приятны и интересно смотреть и слушать, вся информация объясняется довольно хороший уровень детализации. И что самое главное - после того, как вы закончите курс, вы будете удивлены, насколько горизонт открывает для изучения и практики в будущем. Спасибо, ребята, сохранить хорошую работу !!!"
4338,"Есть непонятные моменты, но в целом курс отличный"
4339,В целом все понравилось.
4340,"Большое спасибо создателям курса! Курс емкий, понятный, с хорошими интересными заданиями! Отлично подходит для тех, кто только начинает знакомиться с биологией."
4341,"По мере прохождения курса я уже смог применить свои знания для частичной автоматизации рутинной работы. После курса решил просмотреть вопросы собеседований на позицию junior python developer и понял, что ответы практически на все вопросы я знаю, а те , на которые не знаю, тоже были в курсе, но видимо я уделил им не достаточно внимания. Спасибо за курс!"
4342,Очень интересный и познавательный курс
4343,Курс очень понравился. Спасибо авторам!
4344,Курс очень толковый!
4345,"Курс достаточно интересен. Из достоинств: 1. Очень точно комментируются ситуации, которые нуждаются в комментариях. Т.е., в процессе лекции хочется задать вопрос, а преподаватель на него через некоторое время отвечает. Это огромный плюс. 2. Большое внимание уделено мелочам. Как по мне, это было важным, т.к., C++ я начал изучать очень хаотично и с середины. Ваш курс помог мне закрыть множество базовых дырок в знаниях. 3. Насколько я понимаю, раньше были какие-то ограничения на выполнение заданий, сейчас их нет. Это основная причина, по которой я стал обучатся по вашему курсу. Мне нравится, что есть время подумать. :) Недостатки: 1. Иногда слишком много воды. Бывает, что долго разжевываются уж очень очевидные и понятные вещи. 2. Задания, как по мне, подобраны хаотично по сложности 3. Некоторые задания требуют ""хакерских"" решений (как например задание на сравнение таблиц виртуальных методов). Я не считаю это правильным, тем более, что это очень местячковое решение, которое в будущем может и не работать на новых версиях компиляторов. 4. Некоторые задание требуют знаний за пределами лекционного материала. При наличие интернета это не проблема, но опять же - я не считают это правильным с точки зрения именно преподавания. В целом курс очень понравился, спасибо!"
4346,"Курс для тех, кто уже знаком с этой темой, но хочет освежить знания"
4347,"Отличный курс, спасибо!"
4348,Хороший курс для быстрого освежения памяти по представленным дисциплинам!
4349,"Спасибо организаторам курса и всем, кто проявляет интерес к этой теме! Много осталось непонятного и нужно больше практики (это, скорее, просьба) и, желательно, меньше терминов: многое можно объяснять простыми словами. Всем успехов!"
4350,Курс подошел. Пока что он полностью соответствует ожиданиям.
4351,Очень полезный курс! Всё по полочкам. Спасибо.
4352,"Интересный курс. Некоторые моменты можно было бы разобрать более подробно,, а в целом курс неплохой"
4353,"Отличный курс, интересные задачи"
4354,Отличный уурс.
4355,"Тимур, спасибо большое за такой прекрасный курс! Все разложено четко и по полочкам, разобраться с представленным материалом не составит особого труда, было бы желание😉"
4356,"Неожиданно сложный курс, затрагивающий интересные с практической стороны темы, такие как пуассоновский и ветвящийся процессы, марковские цепи и случайные блуждания. Узнал, наконец, почему так важны условные матожидания, и чем они отличаются от обычных. Задача про редакторов печатного издания меня натолкнула на мысль, как моделировать появление ошибок в кросс-разметке текста для задачи OCR от нескольких разметчиков. К каждой задаче имеется решение от автора курса. Качество материала, презентации и задач -- стандартные храбровские :)"
4357,"Курс отличный.Местами сложно,много пришлось вспоминать(так-то я медбрат уже 15 лет) искать из школьной программы.Очень много практики,интересной и не простой.После этого курса митовский на едексе прошел на ура.Крайне рекомендую,и огроменное спасибо автору!"
4358,топовый курс
4359,Отличный и полезный курс. Лектор обясняет четко и доступно. Много примеров применения анализа.
4360,"Курс неплохой, лично для меня примеры автора курса были не совсем понятны. Хочется что бы автор объяснял на более понятных и реальных проектах."
4361,слишком много новых терминов
4362,Очень интересный курс ❤️
4363,"Привет друзья! Хороший курс для того, что бы практиковаться решать небольшие задачи. В курсе много простых задач, но встречаются и сложные. Спасибо авторам за их труд."
4364,"Курс очень полезный, но можно было бы добавить больше практики"
4365,отличный курс! спасибо Егор!
4366,"Курс - 🔥 огонь! Если можно было бы поставить 100 звёзд, поставила бы) Рекомендую коллегам, студентам и аспирантам неустанно) Спасибо огромное!"
4367,"Хороший курс, проходил одновременно с ulearn.me"
4368,"очень интересно, но очень сложно"
4369,"Прекрасный курс! Уверен, даже опытные программисты найдут в нем что-то новое для себя."
4370,Мотивирует читать книги по генетике
4371,"Курс отличный. Разбор теории шикарный. Единственное, не доставало при тестировании задач вывод результатов в случае неверного решения."
4372,Все хорошо
4373,Достаточно познавательный курс
4374,"супер курс для знакомства с яп с++ все просто, понятно и без заморочек всем советую"
4375,"Очень хороший курс, прослушала параллельно с университетскими занятиями и освежила знания. Спасибо."
4376,"Курс интересный и добротный. Встречаются небольшие опечатки, но это поправимо."
4377,"Чем больше будет задач, тем больше будего его ценность. В целом хороший курс"
4378,Очень интересный и познавательный курс.
4379,Отличный курс!
4380,Отличный курс
4381,В целом норм. Задачи рассчитаны на построение алгоритма.
4382,Хорошо
4383,"Если и изучать азы С++, то только с Михаилом Густокашиным! Это самый позитивный и располагающий к себе преподаватель на Stepik среди тех кого я имел возможность посмотреть. Дайте ему ""Нобелевскую"" премию)))"
4384,На данный момент мне всё нравится - курс подошел!
4385,"Хороший курс, поначалу было очень тяжело освоиться в терминах и формулах, но после середины начал лучше ухватывать суть, чаще справляться с заданиями самостоятельно. Возможно, подачу вводной части курса можно переупаковать и подать более подробно/детально/поступательно для людей, у которых совершенно нулевой математический бэкграунд и цифры с формулами при первом контакте вызывают подлинный ужас, но при желании справиться со всем самостоятельно не так уж и трудно. Спасибо!"
4386,Отличный курс.
4387,"Очень хороший сайт , чтобы вспомнить школьную программу"
4388,Очень интересный курс! Спасибо создателям и кураторам курса
4389,Отличный уурс.
4390,"для тех, кому надо, курс неплохой. Для совсем начинающих маловато синтаксиса и условия заданий сложные для понимания."
4391,Курс хороший
4392,"Хороший курс, чтобы подтянуть свои знания или повторить перед собеседованием."
4393,"Спасибо огромное за этот курс, всё понятно объясняется и много практики 👍"
4394,"большой объем инфомации, нет практики. тяжело информацию запоминать"
4395,"Отличный курс, все объяснения понятны. Материал изложен очень хорошо. Спасибо!"
4396,"Кратко, и при этом понятно. Где то сложно, но от этого интересно. Спасибо огромное."
4397,"Отличный курс, спасибо! 3 модуль сложный, но очень полезный, а последняя задача особенно заставила поломать голову. Но после нее понимание горутин серьезно улучшается. Если будет обновление курса - будет круто."
4398,"Это непростой курс, но он имеет достаточно занятные задачи, которые вы решите, если разберетесь в материале и немного подумаете. Советую всем! Спасибо за курс!"
4399,"Отличный курс, много задач, которые вбивают синтаксис питона в голову, к тому же объяснения автора на ютубе - космос :) Советую"
4400,"Реально классный курс, очень нравится. Рекомендую"
4401,"Курс не для новичков, а тех, кто уже знаком с базовыми концепциями и вполне бодро пишет на питоне или яваскрипте. Множество каверзных задач и двояких формулировок, которые, впрочем, объяснятся в комментариях. Если у вас что-то не получается - в комментариях однозначно есть ответ. Однако, лучше уделить на раздумия несколько часов, поверьте, удовольствие от решения просто нечто."
4402,"Курс один из лучших на степике, в свое время помог мне изучить плюсы. Если тяжело идет, читайте доп.литературу(например Прата) и возвращайтесь к курсу. Станет легче:)"
4403,"Курс мне нравится. Прошел 80%. Задания усложняются, приходится ломать голову, но пока справляюсь. Вводные четкие. Лайк."
4404,спасибо
4405,"Курс хороший, стоит пройти. Одно лишь замечание, есть некоторые опечатки в условиях задач."
4406,"Чётко, доходчиво, большие молодцы! Я бы добавил в курс или отдельным блоком, задач."
4407,"Вопросы в меру сложные, очень хорошо помогает в обучении. Всем рекомендую"
4408,"Для меня тяжеловатый курс. Да и если честно, можно было бы добавить сертификат за него."
4409,"Ну что же. Курс завершен. За бортом оставил только последнюю визуализацию с Seaborn и Plotly. Уж очень замордовал до этого Matplotlib с времяемкими заданиями, а строить графики мне едва ли придется. В целом, на курс пришел, чтобы погонять Python в задачах. И это вполне удалось! Удалось не просто погонять, а еще и значительно улучшить! Заодно немного вспомнил забытую за десятилетия, математику. Атмосфера курса хорошая и сильная. Много решений, из которых было, что подчерпнуть для себя. Да и задания есть такие, что голову можно ломать не один день. Вообще, подборка заданий на 5 баллов с плюсом! Курс настоятельно рекомендую всем, кто хочет изучить Python и библиотеки на практике. Например, numpy и Pandas. Практика будет шикарная. Курс очень объемный. Просто огромный. Конечно же, огромное спасибо Алексею, который не просто создал этот курс, но и поддерживает его столько лет. Это здорово! Еще раз: настоятельно рекомендую!"
4410,Великолепный курс! Большое спасибо автору
4411,Очень приятный и познавательный курс. Отлично подойдет для начала изучения молекулярной биологии
4412,"Курс прекрасный! Каждая тема проработана, видеоролики информативные, и задачи уникальные. В общем, я в восторге!"
4413,"Огромное спасибо за курс! Очень много интересного и полезного, понравилось знакомиться с разными специальными программами, хотя иногда бывало трудновато, но это гораздо лучше и веселее, чем просто тесты с вариантами ответов."
4414,"Спасибо за курс, было очень интересно, я все прошёл, теперь перед тем, как у нас в школе начнется физика, я уже буду многое знать, ещё раз спасибо и всем удачи!"
4415,"Отличный курс. Много всего повторил, много узнал."
4416,Крутейший курс.
4417,"Большое спасибо за бесплатный курс) но я не понимаю откуда у курса столько положительных отзывов)) Либо большинство не видело действительно хороших курсов (""Поколение Python"" всегда ставлю в пример), либо большинство прошедших курс уже знакомо со статистикой. Я пришел на курс с нуля и не считаю себя сильно тупым), но курс можно было сделать более эффективным... например, нет вообще практики, одна теория. Если не применить изученное, то оно завтра же улетучится... Преподаватель объясняет одними терминами, а нужно как для тупых, иначе одни ботаны и будут наукой заниматься... Можно было использовать сравнения, аналогии и т.п. Я вообще не понял, что мне делать с полученной информацией( А так, конечно, это лучше, чем совсем ничего. Спасибо. Успехов Вам!"
4418,Хорошо
4419,Норм
4420,Все отлично!
4421,"хороший курс, помог разобраться"
4422,👍👍👍👍👍👍
4423,"хороший курс, чтобы вспомнил или выучить основы."
4424,Отлично
4425,спасибо большое мне все понравилось
4426,"Хороший курс для начинающих, но для некоторых задач необходимо больше объяснений"
4427,Спасибо за курс!
4428,Неплохой вводный курс по статистике
4429,Неплохой вводный курс. Автору спасибо
4430,"Лучший курс, здесь всё очень понятно объясняют. По окончании курса наконец-то начал понимать книги по машинному обучению, спасибо вам за ваш труд!"
4431,"Очень много непонятных значений, который не доступно обьясняют, таким образом часто приходится заходить в гугл, что бы узнать какие-то базовые название вещей"
4432,"Отличный курс, очень много задач, 95% материала - практика, как и должно быть при изучении программирования. Преподаватель объясняет адекватно и последовательно.
Единственный минус - некоторые задачи слишком сложные для абсолютного новичка."
4433,Как всегда отличный курс! Анатолий спасибо!
4434,Спасибо за науку.
4435,все по теме и понятно
4436,Препод отстой
4437,Мне нравится!
4438,"Хороший курс, но не для всех хороший. Например, для меня, окончившего математический факультет 20 лет назад, порой было непонятно, приходилось обращаться к другим лекциям. Необходимые знания даёт, но не так просто. Подойдет либо для прошедший аналогичный оффлайн-курс (чтобы подвести итог), либо для вундеркиндов, либо для тех, кто готов потратить достаточно времени самостоятельно изучая дополнительный материал. В лекциях достаточно сжато, порой без объяснения смысла того или иного понятия. Например, убило объяснение независимости случайных величин: ""СВ независимы, если вероятность их произведения равна произведению их вероятностей"" - какой смысл этого наиважнейшего понятия догадывайтесь сами. Немало опечаток/ошибок, особенно во второй половине курса, начиная с лекции по мат.ожиданию. Также несколько покоробило нежелание авторам улучшать курс - было прямым текстом в комментариях к лекциям. Понятно, что курс бесплатный, а ""дарёному коню в зубы не глядят"", но хотелось бы несколько лучшего, поэтому - минус один."
4439,"Отличный курс, всё объясняется легким языком и главное последовательно. Его преимущество в том что он бесплатен, хотя и есть отдельные видео за которые нужно заплатить подписку в размере 150 рублей, но это мелочи за такой материал. Автору респект и спасибо!)"
4440,Курс хорош! Ждем обновление))))
4441,"Очень сложно и очень интересно. В первом контесте удалось решить лишь 2 задачи на максимум и решил третью, но не на максимальное количество баллов"
4442,"спасибо за курс, в некоторых пунктах получила полезню информацию"
4443,"Замечательный курс. Очень нравиться подача материала: сначала в своём ритме читаешь, как по учебнику, если непонятно, возвращаешься, перечитываешь; затем идут тесты для закрепления, и, в конце, задачи для самостоятельного решения. На мой взгляд, классная альтернатива видеоурокам и лекциям."
4444,классно мне понравилось.
4445,"Большое спасибо за такой прекрасный и полезный курс !Благодаря ему, я научился решать те самые непонятные для меня тригонометрические задачи. Очень рад и благодарен Тимуру за его преподавание)"
4446,"Спасибо за введение в статистику для тех, кто до этого не имел с этим дела. Темы раскрыты оптимально для понимания, я рад, что познакомился с таким материалом."
4447,"Превосходный курс. Некоторые задачи делал по несколько дней, но какой же кайф был от заветной зелёной надписи"
4448,"Очень грамотное и доступное изложение материала, реально вдохновляет на изучение. Отдельная благодарность А. Карпову за изложение материала! Супер! Спасибо!"
4449,"Смешанные чувства по окончании: разделы с видео - отличные, чистый восторг. Именно из-за них и начал проходить этот курс. Но вот потом видео кончаются, встречается много задач с ошибками, неочевидными решениями в разборах... Словом, если авторы доведут курс до ума- это будет бомба!"
4450,Отличный курс
4451,Подошёл вполне. Сверх доступная подача материала.
4452,Замечательный курс!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
4453,на 4+
4454,"Отличный курс! Очень приятно когда авторы относятся с уважением к математике и не пренебрегают доказательствами! Кроме хорошей теории тут очень много довольно сложных, но очень интересных задач. Рекомендую!"
4455,Интересный курс
4456,Даёшь курс по ООП!
4457,"Очень хороший курс! Будет полезен как для начинающих так и для тех, кто хочет освежить и систематизировать свои знания в этой области)"
4458,"Спасибо, все понравилось"
4459,"Классный курс. Оказался очень полезен для меня, огромное спасибо авторам. Если бы было больше практических заданий на закрепление материала - было бы вообще супер!"
4460,"Очень, очень много задач, на старте очень полезно. Позволяет крайне быстро разобраться в numpy, pandas, matplotlib,. Огромное спасибо за проделанную работу!"
4461,"В общем получил хорошее впечатление от курса. Автор обясняет сложные вещи простыми словами. Порадовало изначально большое количество практических заданий. Но ставлю данному курсу только 4 звезды по последующим причинам: 1) до средины курса количество заданий было достаточно для усвоения материала. После начала изучения фунций практики стало мало. Сложилось впечатление какой то гонки за количеством видео; 2) плохая модерация коментариев. Много учасников оставляют куски рабочего кода в коментариях, что с одной стороны мешает сесть и подумать над ходом написания кода; 3) постоянное напоминание автором о спонсорстве канала и вынос интересных тем в patreon и прочие платные ресурсы. 150р в месяц - это копейки за качественный контент но увы... указано ""бесплатно"". 4) многие темы как исключения и прочие упущены из программы курса Как для новичков и желающим освежить свои знания - рекомендую. Автору желаю успехов и надеюсь, что мои пожелания и пожелания учащихся будут взяты во внимание. Ну и ждем новых интересных курсов."
